employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
60567,5,25,2,0,3,1,30,3.0,6,1,0,84,1
64947,1,7,2,0,3,1,35,5.0,3,1,1,45,1
54321,3,7,2,0,1,1,30,3.0,1,1,0,78,1
43786,5,22,2,1,1,2,27,3.0,3,1,0,85,1
38634,5,31,2,0,3,2,28,3.0,2,1,0,86,1
70800,2,4,1,1,1,1,37,5.0,8,1,1,99,1
69334,6,28,1,0,3,1,33,3.0,3,1,1,60,1
11811,3,7,1,1,3,1,39,4.0,4,1,0,78,1
58828,7,26,2,0,3,1,28,2.0,2,1,0,52,1
27190,2,7,2,0,1,1,33,3.0,4,0,0,74,1
26805,2,32,2,0,3,1,36,4.0,3,1,0,74,1
52952,5,22,2,0,2,1,32,3.0,3,1,1,78,1
604,3,26,2,0,3,1,35,1.0,6,1,0,77,1
16149,5,22,2,0,3,1,34,3.0,3,0,0,89,1
20877,1,4,2,1,3,1,30,3.0,8,1,0,50,1
46802,4,20,2,1,3,1,33,2.0,3,1,0,69,1
14067,4,7,2,1,3,1,29,5.0,4,1,0,72,1
44100,1,7,1,0,1,1,42,5.0,11,1,0,54,1
31700,4,17,1,1,3,1,36,3.0,4,0,0,81,1
35744,1,28,2,0,3,1,25,4.0,3,1,0,64,1
54981,2,15,2,1,3,2,42,5.0,5,1,0,61,1
43446,3,17,2,0,3,1,36,4.0,5,1,0,78,1
33769,3,4,2,0,3,1,30,5.0,3,1,0,77,1
6751,1,28,1,0,3,1,36,3.0,2,1,0,45,1
46849,1,3,2,0,3,1,32,5.0,5,1,0,47,1
16458,2,4,2,1,1,1,39,5.0,9,1,0,61,1
710,5,22,2,0,3,1,28,3.0,1,1,0,86,1
26129,1,22,2,0,2,1,29,3.0,2,1,0,55,1
6104,2,22,2,0,1,1,27,5.0,4,0,0,68,1
34428,3,7,1,1,3,1,41,4.0,8,1,1,93,1
6511,5,7,2,0,1,2,29,5.0,2,0,0,86,1
6704,1,15,2,0,3,1,40,3.0,12,1,0,47,1
27543,2,4,1,0,1,1,44,3.0,15,1,0,61,1
69540,3,5,2,1,1,1,24,3.0,1,0,0,81,1
76938,3,28,2,0,3,1,28,5.0,4,0,1,91,1
28847,2,22,2,1,1,3,36,2.0,4,0,0,78,1
73853,8,4,1,0,3,1,42,4.0,8,1,0,85,1
8424,2,15,1,0,1,2,44,5.0,11,1,0,92,1
45253,5,22,2,1,1,1,29,4.0,4,1,0,92,1
63292,4,22,2,0,1,1,26,3.0,1,0,0,80,1
44344,1,13,1,1,1,1,40,3.0,5,1,0,50,1
76470,3,17,2,1,3,1,32,5.0,4,1,0,95,1
70680,7,22,2,0,1,1,28,3.0,1,1,0,51,1
74295,4,13,1,1,3,1,36,3.0,6,1,0,67,1
312,1,23,2,0,1,1,35,3.0,9,1,0,45,1
1570,2,13,2,0,3,1,34,3.0,3,0,0,68,1
45312,5,15,2,0,3,1,37,5.0,11,0,1,86,1
74181,4,16,2,1,3,1,37,5.0,5,0,0,77,1
77159,5,5,1,0,1,1,37,2.0,7,0,1,81,1
4747,3,22,1,0,2,3,36,3.0,7,1,0,80,1
3907,4,22,2,1,3,1,34,5.0,2,1,0,65,1
68919,3,13,2,0,1,1,38,5.0,4,0,0,93,1
19198,1,6,2,0,3,1,32,3.0,6,1,0,47,1
30140,5,28,2,0,3,1,34,3.0,7,1,0,80,1
34392,8,26,2,0,1,2,40,3.0,2,1,1,84,1
13086,1,7,2,0,3,1,32,3.0,4,0,0,65,1
67964,4,7,2,0,3,1,36,3.0,4,1,0,72,1
29839,1,13,2,0,3,1,54,5.0,11,1,0,45,1
30787,3,22,2,1,3,1,26,5.0,3,1,0,80,1
8711,4,17,2,1,3,1,26,5.0,4,0,0,86,1
32140,1,3,2,0,3,1,34,4.0,9,1,0,46,1
1234,3,2,3,0,3,3,23,3.0,1,0,0,82,1
65621,3,2,2,0,3,1,30,5.0,6,0,1,86,1
63636,1,2,2,0,3,1,36,4.0,8,1,0,51,1
67600,3,27,2,1,1,1,28,4.0,2,1,0,78,1
7370,1,21,2,0,3,1,48,3.0,4,1,0,51,1
10027,2,7,2,1,1,1,32,4.0,5,1,0,99,1
23259,3,2,2,1,1,1,24,4.0,2,1,0,84,1
23216,4,13,1,1,3,1,34,5.0,7,1,0,74,1
44757,7,26,2,1,3,1,31,3.0,5,1,0,46,1
52957,3,22,1,0,3,1,37,4.0,6,1,0,82,1
16939,1,17,2,0,3,1,31,4.0,3,0,0,60,1
8691,6,25,2,0,3,1,32,5.0,6,1,0,57,1
44105,1,28,2,0,3,1,34,5.0,7,1,0,53,1
6402,1,26,1,0,3,1,41,5.0,14,1,0,45,1
41573,1,2,2,1,3,1,35,4.0,7,1,0,54,1
42379,1,14,2,0,3,1,39,3.0,10,0,0,58,1
66509,2,4,2,1,3,1,36,3.0,9,1,0,61,1
54725,4,2,2,0,1,2,40,3.0,4,1,0,66,1
4653,2,2,2,1,1,1,32,5.0,10,0,0,69,1
44041,3,28,1,0,3,1,34,3.0,9,0,0,80,1
24023,2,7,1,1,3,1,56,5.0,7,1,1,61,1
53335,4,15,1,0,3,1,40,4.0,9,1,0,72,1
2742,3,28,1,0,3,1,35,2.0,8,1,0,78,1
2985,5,22,2,1,1,1,26,5.0,4,1,0,86,1
25052,4,27,2,0,3,2,28,3.0,1,1,0,71,1
67891,1,2,2,0,1,1,23,5.0,2,0,0,64,1
51271,8,22,2,0,3,1,29,5.0,2,1,0,83,1
68405,2,11,1,0,3,1,41,3.0,5,1,0,63,1
56674,4,23,1,1,1,1,34,5.0,7,0,0,86,1
76103,1,3,1,0,1,1,37,4.0,10,1,0,92,1
36413,1,28,1,0,3,1,43,3.0,11,1,0,55,1
33516,1,2,2,1,3,2,37,4.0,9,1,0,51,1
60175,5,22,2,0,3,1,28,5.0,8,0,0,87,1
55226,4,2,1,1,1,1,38,5.0,7,1,0,72,1
45988,8,2,1,0,1,1,41,3.0,13,1,0,85,1
31379,4,8,1,1,3,1,32,2.0,9,0,0,88,1
20036,4,15,2,1,3,1,30,3.0,5,0,0,85,1
3854,4,16,1,1,3,1,35,3.0,9,1,0,70,1
63115,7,4,1,1,3,1,33,5.0,3,0,0,65,1
14085,1,16,2,0,1,1,22,3.0,1,0,0,61,1
48898,4,2,2,1,3,1,34,3.0,6,0,0,83,1
40339,1,7,1,0,3,1,54,4.0,14,1,0,48,1
59931,1,2,1,0,3,1,35,5.0,8,1,0,48,1
67122,1,2,2,1,3,1,43,5.0,11,1,0,46,1
38825,2,22,2,1,3,1,27,5.0,4,0,0,77,1
68114,2,22,2,1,1,1,37,5.0,11,1,0,62,1
55909,1,1,1,0,3,1,39,3.0,3,1,0,45,1
33414,1,22,2,0,3,1,30,5.0,6,1,0,54,1
73386,4,15,1,0,3,1,39,2.0,4,1,1,74,1
6171,4,22,2,0,3,1,32,5.0,4,0,1,99,1
16087,2,21,2,0,3,1,34,3.0,6,1,0,55,1
21335,3,13,1,0,3,1,36,3.0,7,1,0,87,1
75235,1,29,2,0,3,1,35,3.0,10,1,0,50,1
31286,1,7,2,1,3,1,24,3.0,1,1,0,47,1
30828,6,28,2,0,1,1,31,5.0,5,1,0,55,1
71187,4,22,1,1,1,1,33,5.0,7,1,0,68,1
21304,3,27,1,0,3,1,40,5.0,14,1,1,85,1
11653,5,27,2,0,1,1,29,4.0,1,1,0,81,1
17781,1,31,2,0,3,1,23,3.0,1,1,0,47,1
68499,2,7,2,0,1,1,35,4.0,2,0,1,71,1
40472,3,13,1,1,3,1,32,4.0,7,1,0,97,1
78106,2,15,2,1,3,1,35,5.0,4,0,0,74,1
10607,5,8,2,0,1,1,27,5.0,5,1,0,87,1
25965,4,11,2,1,3,1,31,5.0,2,1,0,71,1
37204,4,7,2,0,3,1,32,5.0,7,1,0,70,1
4646,1,2,2,0,3,1,37,3.0,8,0,0,59,1
20343,1,2,1,0,1,1,37,3.0,7,0,0,59,1
5203,1,2,2,0,3,1,44,5.0,3,0,0,57,1
32127,1,22,2,0,1,1,26,5.0,5,1,0,93,1
5237,1,2,2,1,1,1,54,4.0,12,1,0,47,1
21817,2,2,2,1,3,1,30,4.0,6,1,1,59,1
40459,5,27,2,0,1,1,33,5.0,3,1,0,92,1
8986,4,13,2,0,3,1,40,3.0,4,1,0,67,1
62660,5,22,2,0,3,1,28,3.0,2,1,0,88,1
44905,4,19,2,0,1,1,38,5.0,3,1,0,70,1
41625,4,13,2,0,3,2,35,3.0,3,0,0,93,1
16013,3,10,2,1,3,1,29,4.0,4,1,0,82,1
54158,3,26,2,0,3,1,26,5.0,4,1,0,78,1
21595,5,22,2,0,1,1,29,4.0,4,1,0,80,1
63903,1,2,1,0,3,1,54,3.0,12,1,0,53,1
32567,2,2,1,0,3,1,38,5.0,6,0,0,79,1
52772,3,17,2,0,1,1,30,3.0,6,0,0,81,1
27709,5,2,2,0,1,1,33,3.0,4,1,0,82,1
1957,2,15,2,0,1,1,46,5.0,9,0,1,89,1
75759,2,4,2,1,1,1,39,3.0,5,1,0,58,1
63700,5,4,2,0,3,2,30,3.0,5,0,0,86,1
19986,3,7,1,1,1,1,42,5.0,12,1,0,77,1
40320,5,13,2,0,3,1,26,3.0,2,0,0,85,1
3602,3,33,2,0,3,1,34,3.0,3,1,1,75,1
20067,3,7,2,1,1,1,35,3.0,7,0,0,89,1
43470,1,2,2,0,3,1,59,3.0,4,1,0,51,1
44393,4,2,1,1,1,1,39,3.0,7,1,0,72,1
10214,4,17,2,0,3,1,41,5.0,7,1,1,72,1
43281,1,13,1,0,1,1,34,5.0,9,1,0,50,1
37831,5,7,1,0,3,1,42,3.0,5,1,0,82,1
19437,5,22,2,0,1,2,28,5.0,5,0,0,83,1
66936,2,22,2,0,3,2,55,5.0,18,0,0,71,1
6470,5,7,2,1,3,2,28,3.0,1,1,0,85,1
45010,3,16,1,0,1,1,42,3.0,5,0,0,81,1
69680,1,14,2,0,3,2,23,3.0,2,1,0,51,1
19149,3,2,2,1,3,1,26,5.0,3,1,0,79,1
67702,2,22,2,0,1,3,29,4.0,4,1,0,56,1
68416,1,28,2,0,3,1,28,3.0,1,0,0,67,1
51943,3,2,2,1,3,1,34,4.0,3,1,0,79,1
70364,1,22,2,0,3,1,27,3.0,2,1,1,96,1
47273,1,2,2,1,2,1,32,4.0,8,0,0,63,1
31632,1,4,2,0,1,1,30,2.0,4,0,0,60,1
1393,4,15,2,1,3,1,29,5.0,5,1,0,71,1
26885,1,16,2,0,3,1,41,5.0,3,1,0,48,1
27648,3,20,2,0,1,1,30,3.0,1,1,0,84,1
78263,1,2,2,0,1,1,31,3.0,6,1,1,44,1
43927,4,26,2,0,1,1,30,1.0,4,0,0,85,1
4742,1,4,2,0,1,1,38,5.0,3,0,0,63,1
124,2,22,1,1,1,2,38,3.0,12,1,0,87,1
14003,2,2,1,1,2,1,35,5.0,8,1,0,60,1
48126,2,15,2,0,3,1,32,5.0,7,1,0,58,1
27835,1,7,2,0,3,1,25,3.0,3,1,0,48,1
53671,2,22,2,1,3,1,39,5.0,8,1,0,57,1
17681,1,7,2,0,3,1,30,4.0,5,1,0,65,1
67369,1,15,1,0,3,1,36,4.0,3,1,0,65,1
10220,2,4,2,0,1,1,36,3.0,12,0,0,70,1
23128,3,2,2,1,3,1,30,3.0,2,1,0,77,1
59941,8,22,1,0,1,1,28,3.0,1,1,0,85,1
7972,5,32,2,0,1,1,30,5.0,4,1,0,82,1
29152,2,22,2,1,3,1,34,5.0,6,0,0,74,1
44443,2,16,1,0,3,1,44,4.0,16,1,0,89,1
33842,7,2,1,0,1,1,42,5.0,4,0,0,63,1
26413,5,20,2,0,3,2,28,2.0,2,0,0,87,1
4673,1,11,2,0,1,1,29,5.0,4,0,0,61,1
35084,1,25,2,0,1,1,33,5.0,7,1,0,44,1
70153,3,26,2,0,3,1,41,5.0,11,1,1,82,1
47585,6,2,2,0,3,1,41,4.0,6,1,0,62,1
3763,1,16,2,0,1,1,51,4.0,17,0,0,63,1
71293,7,7,1,0,3,1,39,5.0,6,1,1,47,1
57259,3,7,1,0,3,2,37,3.0,5,1,1,94,1
75223,2,22,2,1,1,1,38,4.0,9,0,0,72,1
55609,6,28,2,1,1,1,30,5.0,7,1,0,60,1
41161,2,22,2,0,3,1,40,5.0,3,1,1,60,1
75051,2,5,2,0,1,1,29,5.0,3,1,0,58,1
48528,4,2,1,1,1,1,46,3.0,13,1,0,69,1
39514,5,30,2,0,3,1,29,5.0,3,1,0,86,1
14132,5,2,2,0,3,2,41,2.0,13,1,0,82,1
74610,5,22,2,1,3,2,27,3.0,4,0,1,81,1
15025,4,6,2,0,3,3,27,4.0,3,1,0,68,1
1771,3,17,2,0,3,1,39,4.0,14,0,0,88,1
63774,1,2,2,1,3,1,31,4.0,5,1,0,49,1
15306,2,22,1,1,3,1,35,3.0,4,0,1,96,1
15643,3,7,2,1,1,1,30,3.0,4,0,0,89,1
17036,7,26,2,0,3,1,30,3.0,5,1,0,90,1
74447,2,22,1,0,3,1,31,5.0,4,1,0,57,1
3957,3,2,1,0,1,2,38,3.0,9,1,0,91,1
68376,1,13,2,0,1,1,29,3.0,1,1,1,92,1
63806,2,22,2,1,1,1,48,5.0,3,1,0,63,1
11102,3,13,2,0,2,1,31,3.0,3,1,0,80,1
76873,1,28,1,1,1,1,34,4.0,7,0,0,64,1
17514,3,14,2,0,3,3,32,5.0,5,1,0,84,1
41750,4,7,2,1,1,1,32,5.0,7,1,0,73,1
67245,1,2,2,0,1,1,26,3.0,1,1,1,90,1
51856,1,23,2,0,3,1,33,3.0,9,1,0,52,1
35368,2,27,2,1,1,1,43,3.0,10,1,0,62,1
66362,4,2,2,1,3,1,60,3.0,21,1,0,99,1
47800,3,2,1,0,1,2,46,5.0,6,1,0,78,1
14922,4,2,1,1,1,1,51,2.0,11,1,0,71,1
69542,1,19,2,0,3,1,32,3.0,1,1,0,97,1
41821,2,23,1,1,3,1,32,5.0,6,1,0,64,1
42512,5,28,1,0,1,1,33,5.0,4,1,0,87,1
69913,5,22,2,0,3,1,28,3.0,4,0,0,88,1
75671,4,30,2,0,1,1,27,3.0,3,0,1,93,1
4856,1,7,2,0,1,1,39,3.0,10,1,0,53,1
47096,1,22,2,0,1,1,28,3.0,1,1,0,94,1
73295,5,7,1,0,3,2,32,3.0,4,1,1,82,1
52286,1,28,1,1,3,1,34,5.0,6,1,1,99,1
14638,5,25,2,1,3,1,29,3.0,1,0,0,84,1
18531,5,28,1,0,1,2,32,3.0,4,1,0,86,1
50166,2,16,1,0,1,1,44,4.0,11,1,0,97,1
9044,4,7,2,0,1,1,30,4.0,6,1,0,70,1
62422,7,2,1,1,1,1,52,3.0,23,1,0,50,1
44501,1,2,2,0,1,1,24,1.0,3,1,0,50,1
55924,3,7,1,0,1,1,32,5.0,9,1,0,71,1
17204,5,4,1,0,1,1,33,5.0,4,0,0,85,1
57593,3,23,1,0,3,1,34,1.0,2,1,0,86,1
31244,3,13,1,0,3,1,32,5.0,6,1,1,77,1
70964,2,22,2,0,2,1,32,4.0,4,1,0,58,1
3408,3,16,2,0,3,2,36,5.0,4,1,0,81,1
58792,3,13,1,0,1,1,38,3.0,4,1,1,78,1
272,3,7,2,1,1,1,29,5.0,2,1,0,82,1
32409,4,27,2,1,1,1,36,5.0,7,1,0,65,1
77713,1,5,2,0,1,1,34,5.0,6,1,1,93,1
59391,5,13,2,0,3,2,29,2.0,2,0,0,88,1
51618,5,22,2,0,2,1,28,4.0,5,1,0,86,1
23111,1,11,2,0,1,2,27,5.0,7,1,0,45,1
44714,3,22,1,0,1,1,47,5.0,19,1,0,72,1
21854,4,7,1,0,3,1,34,3.0,6,1,0,67,1
44972,3,2,1,0,3,1,44,5.0,6,1,0,77,1
60565,3,2,1,0,1,1,38,5.0,9,0,0,83,1
70674,3,22,2,0,3,4,26,4.0,3,1,0,99,1
70018,1,27,2,0,1,2,27,4.0,5,1,0,53,1
56560,7,20,2,0,3,1,31,3.0,6,1,0,48,1
73672,2,7,1,0,1,1,49,5.0,9,1,0,95,1
36914,2,4,2,0,1,1,35,3.0,9,1,0,59,1
77725,9,20,2,0,3,1,30,4.0,4,1,0,59,1
49833,1,16,1,0,3,1,33,4.0,4,0,0,61,1
65089,7,21,1,1,3,1,38,3.0,3,1,0,52,1
66530,3,13,2,1,1,2,29,4.0,6,0,0,84,1
43474,1,28,1,0,3,1,42,5.0,17,0,0,57,1
35165,3,10,2,0,3,1,27,3.0,5,1,0,81,1
45867,1,22,2,0,3,2,35,4.0,9,1,0,51,1
44037,3,1,1,0,1,1,33,5.0,7,1,0,74,1
4704,3,22,2,0,1,1,28,3.0,1,1,0,78,1
56129,2,7,2,0,3,1,34,4.0,5,1,0,97,1
44828,3,13,1,0,1,1,36,5.0,10,0,0,92,1
8626,3,30,2,0,1,2,28,4.0,5,1,0,94,1
64334,2,4,1,0,3,1,58,5.0,18,0,0,72,1
28300,3,31,2,0,1,1,31,5.0,5,1,0,80,1
15773,1,2,2,1,1,1,25,3.0,1,1,1,92,1
75076,4,8,2,0,1,1,30,5.0,5,1,0,72,1
26639,2,23,2,0,3,2,35,3.0,10,1,0,99,1
39547,4,19,2,0,3,1,32,3.0,1,1,0,66,1
41047,3,31,1,1,1,2,31,5.0,3,1,0,80,1
72954,5,22,2,1,1,2,25,5.0,2,1,0,87,1
70572,1,2,2,0,1,1,26,5.0,2,1,0,52,1
23702,3,31,2,0,1,1,25,4.0,3,1,1,86,1
60773,5,10,2,0,1,1,28,5.0,3,1,0,86,1
17456,3,14,2,0,3,1,37,3.0,8,1,0,82,1
36233,1,7,2,0,1,1,25,3.0,2,0,1,68,1
20065,1,5,1,0,1,1,39,4.0,2,1,1,50,1
54432,1,2,2,1,3,1,32,4.0,7,1,0,60,1
13323,1,7,2,0,3,1,30,3.0,1,1,0,49,1
33762,1,2,1,0,3,1,41,3.0,4,1,0,45,1
7176,1,2,2,0,1,1,36,3.0,7,1,0,46,1
29355,5,2,2,0,1,1,43,5.0,12,0,0,81,1
12910,2,22,1,1,3,1,40,4.0,9,1,0,93,1
63194,2,13,1,0,1,1,41,5.0,4,1,0,63,1
10182,2,27,1,1,3,1,46,3.0,15,0,0,72,1
38134,2,2,1,0,1,1,50,5.0,7,1,0,57,1
33302,4,7,1,1,1,2,32,3.0,5,1,0,71,1
17530,7,17,2,0,3,1,28,3.0,1,1,0,49,1
22831,2,19,2,0,1,1,35,5.0,9,1,0,57,1
25877,4,22,1,0,3,1,31,5.0,5,1,0,67,1
11688,3,5,3,1,1,1,24,5.0,2,0,0,86,1
69300,1,4,2,0,1,1,29,3.0,1,1,0,49,1
75320,5,22,2,1,1,2,28,5.0,5,1,0,89,1
11388,1,2,1,0,3,2,40,5.0,6,0,1,95,1
76005,1,2,2,0,3,1,38,4.0,3,1,1,51,1
8181,6,30,2,0,3,1,29,5.0,2,1,0,61,1
65496,3,22,2,0,2,1,26,1.0,2,1,0,84,1
9918,1,7,1,0,1,3,34,1.0,5,0,0,61,1
63535,3,22,2,0,3,2,31,3.0,6,1,1,78,1
58614,1,22,2,0,3,1,27,4.0,5,1,0,49,1
58061,2,8,2,0,1,1,32,3.0,7,1,0,56,1
45937,2,22,2,0,3,1,34,3.0,7,0,0,66,1
48414,6,4,1,1,3,1,35,3.0,11,1,0,98,1
41401,1,1,1,0,1,1,37,5.0,9,1,0,51,1
1783,6,30,2,0,3,1,26,5.0,2,1,1,90,1
46685,5,7,2,0,3,1,38,3.0,3,0,0,85,1
71567,1,2,2,0,3,1,31,4.0,4,1,0,62,1
48457,5,11,2,1,3,1,28,3.0,1,0,1,82,1
19541,4,17,2,1,1,1,36,3.0,4,0,1,77,1
35356,1,22,2,0,1,1,21,3.0,1,1,0,52,1
30882,7,22,2,1,2,1,29,3.0,4,1,0,49,1
32766,1,28,1,0,3,1,35,2.0,3,1,0,46,1
14286,2,13,2,0,3,1,30,5.0,3,1,0,91,1
71467,3,26,3,0,3,1,25,3.0,1,0,0,97,1
17510,4,15,1,1,1,1,48,5.0,9,1,0,72,1
55473,2,7,1,1,1,1,34,5.0,4,1,0,96,1
71021,6,2,2,0,3,2,33,5.0,5,0,0,68,1
50514,1,7,2,0,3,1,27,4.0,3,1,0,52,1
51052,1,13,1,0,1,1,32,4.0,4,1,0,51,1
32262,5,28,1,0,1,2,34,3.0,3,0,0,82,1
56060,6,2,2,0,3,1,32,1.0,4,1,0,65,1
57735,9,2,2,0,3,1,30,5.0,1,1,0,56,1
66923,5,25,2,0,3,2,28,5.0,3,0,0,88,1
56553,1,1,1,0,1,1,33,3.0,7,0,0,59,1
8340,3,20,2,0,1,1,28,4.0,4,0,1,90,1
44310,2,22,1,1,3,3,32,3.0,4,1,0,59,1
23257,1,1,1,1,1,1,33,5.0,5,0,0,60,1
6330,2,13,1,1,1,2,35,5.0,2,1,0,56,1
37372,1,2,1,0,3,1,43,4.0,13,0,0,62,1
32075,5,22,2,0,3,2,28,5.0,2,1,0,79,1
29821,1,27,2,0,3,1,35,3.0,3,0,0,58,1
75829,3,2,2,1,3,1,48,5.0,10,1,0,80,1
61715,9,2,1,0,1,1,60,5.0,12,1,0,63,1
30378,1,2,2,0,3,1,26,5.0,4,0,1,58,1
69254,1,7,1,0,3,1,38,5.0,7,1,0,48,1
6612,6,20,2,0,1,1,33,5.0,5,0,1,97,1
48378,2,2,2,0,1,1,40,5.0,11,1,0,60,1
71979,1,4,1,0,1,1,32,5.0,7,1,0,52,1
66971,5,13,1,0,3,1,44,5.0,7,0,0,81,1
39587,1,28,2,0,1,1,29,3.0,6,1,0,52,1
71338,1,7,2,0,3,1,44,3.0,6,1,0,51,1
65848,1,2,2,0,1,2,35,3.0,7,0,1,62,1
11830,7,2,2,0,1,1,35,4.0,10,1,0,49,1
32027,1,4,1,0,1,1,48,3.0,5,0,0,63,1
77210,3,23,1,1,3,1,42,3.0,12,1,0,79,1
13520,3,2,2,0,1,1,37,5.0,6,1,0,81,1
3335,5,11,2,0,3,3,29,3.0,4,1,0,92,1
29409,1,19,2,1,3,1,32,3.0,6,0,0,59,1
77315,2,15,2,0,1,3,35,3.0,12,0,0,76,1
69773,5,22,2,0,3,1,31,5.0,3,1,0,83,1
61885,1,15,2,0,1,1,39,3.0,6,0,1,65,1
76461,3,20,2,1,3,1,30,5.0,4,1,0,82,1
54847,1,23,1,0,1,1,40,5.0,5,1,1,96,1
68306,4,7,1,0,3,1,36,5.0,9,1,0,72,1
78139,1,2,1,0,1,1,50,5.0,10,1,0,54,1
47463,6,30,2,0,3,1,28,5.0,5,0,0,77,1
50371,4,23,1,0,3,1,36,3.0,4,1,0,69,1
71786,4,16,2,0,1,1,36,4.0,10,1,0,67,1
64676,3,27,2,0,1,1,28,5.0,4,0,0,91,1
44494,2,27,2,1,3,1,31,5.0,4,1,0,84,1
42793,1,2,2,0,3,1,21,3.0,2,0,1,64,1
38227,3,16,2,0,3,1,28,1.0,7,0,0,82,1
66349,3,17,1,1,3,1,35,1.0,3,1,1,98,1
75812,5,28,2,0,3,1,27,3.0,2,1,0,89,1
66176,2,22,2,0,1,3,34,3.0,5,1,0,63,1
23096,2,5,2,0,3,2,28,3.0,6,1,0,57,1
43952,1,2,1,0,3,1,36,3.0,3,0,0,59,1
76776,5,22,2,1,1,1,29,3.0,5,1,0,81,1
63255,5,25,2,0,3,1,29,5.0,3,1,1,92,1
20279,2,24,2,1,3,2,33,4.0,4,1,0,60,1
11026,2,2,2,1,1,1,60,3.0,3,0,0,71,1
